,Model,K,W,Base_Reconstruction,SDS_Reconstruction,Gain
0,Llama8B_GSM8K_L22,4,3,0.011851806034284987,0.014756673309755953,0.0029048672754709657
1,Llama8B_GSM8K_L22,4,5,-0.04122300446033478,0.0065479626879096035,0.04777096714824438
2,Llama8B_GSM8K_L22,8,3,0.011851806034284987,-0.00025799796965561415,-0.012109804003940601
3,Llama8B_GSM8K_L22,8,5,-0.04122300446033478,0.02191170696169138,0.06313471142202616
4,Qwen14B_Math500_L28,4,3,-0.017072527151968744,0.0241689534806129,0.041241480632581644
5,Qwen14B_Math500_L28,4,5,,,
6,Qwen14B_Math500_L28,8,3,-0.017072527151968744,0.021962313395407464,0.03903484054737621
7,Qwen14B_Math500_L28,8,5,,,
8,Qwen1.5_GSM8K_L20,4,3,0.06912922356277704,0.04859905950725078,-0.020530164055526254
9,Qwen1.5_GSM8K_L20,4,5,,,
10,Qwen1.5_GSM8K_L20,8,3,0.06912922356277704,0.04734795838594437,-0.021781265176832668
11,Qwen1.5_GSM8K_L20,8,5,,,
