,Pair,K,W,Entropy_RLVR,Entropy_Base,GenSim_RLVR,GenSim_Base,Gap_RLVR,Gap_Base
0,Llama8B_GSM8K_L22,2,1,0.011836363,0.117578164,0.8477420074341679,0.9343821680805912,0.9024034297146083,0.6510251532428855
1,Llama8B_GSM8K_L22,2,3,0.003818959,0.082591,0.8800045847542558,0.9600538715196494,0.8163427909177623,0.49101403031130775
2,Llama8B_GSM8K_L22,2,5,0.004198745,0.113315344,0.9212798132607926,0.9653031544316383,0.8678772863812707,0.41917886878876
3,Llama8B_GSM8K_L22,4,1,0.021878822,0.17220384,0.9212827373959316,0.9473168088748001,0.8203003171422407,0.3254551947578205
4,Llama8B_GSM8K_L22,4,3,0.011486455,0.13286634,0.9477964241482256,0.968134014941633,0.7563250609324486,0.2787078189894675
5,Llama8B_GSM8K_L22,4,5,0.009373025,0.25067067,0.9659428662837368,0.9757367610221818,0.7037667676776456,0.44549987161082627
6,Llama8B_GSM8K_L22,6,1,0.031724196,0.15577407,0.9432882492991248,0.9477852922320742,0.704215024902222,0.31050959295580094
7,Llama8B_GSM8K_L22,6,3,0.022468386,0.3286677,0.9614055587458135,0.9711714391700756,0.7985791928525232,0.29511115180748027
8,Llama8B_GSM8K_L22,6,5,0.019842243,0.34047002,0.9730186096507393,0.9755096219125248,0.8084348773766727,0.3034531146037944
9,Llama8B_GSM8K_L22,8,1,0.037750397,0.25205666,0.9542585096505205,0.9473248504564464,0.7393976719289812,0.36863440506634226
10,Llama8B_GSM8K_L22,8,3,0.022687905,0.3730459,0.9709990781356529,0.9749134417397146,0.6582249702065953,0.2228455586139012
11,Llama8B_GSM8K_L22,8,5,0.019179476,0.43367064,0.9852450570967644,0.9753503610158251,0.8671058891755046,0.43161178319906424
12,Llama8B_GSM8K_Final,2,1,0.014196525,0.077762395,0.84404753220158,0.9175484002471832,0.7467236797510166,0.5437756629175845
13,Llama8B_GSM8K_Final,2,3,0.0070921495,0.07497715,0.8777674515024725,0.9397922553445982,0.8659637419965326,0.29317458787149064
14,Llama8B_GSM8K_Final,2,5,0.008044269,0.061534807,0.9053284669768881,0.9455129376555856,0.6173884460491857,0.22718638401241775
15,Llama8B_GSM8K_Final,4,1,0.04562604,0.18239275,0.9124710290631786,0.9317692877020801,0.7132819070411975,0.3437395551579141
16,Llama8B_GSM8K_Final,4,3,0.026565334,0.15970977,0.9438455675380776,0.9573714251027388,0.6656251049157507,0.3155510566812132
17,Llama8B_GSM8K_Final,4,5,0.026538339,0.1256141,0.9414533086076996,0.9621195127406428,0.5025653151660243,0.2748120227353703
18,Llama8B_GSM8K_Final,6,1,0.041069396,0.17461416,0.9398181209487984,0.9035345243178914,0.577453317592914,0.3088057844051124
19,Llama8B_GSM8K_Final,6,3,0.048332132,0.25566244,0.9565955750285143,0.9531132261259267,0.6236533210287698,0.3309934246861511
20,Llama8B_GSM8K_Final,6,5,0.054247994,0.18933283,0.960647018209717,0.9641827911565808,0.5903711602917312,0.2951785328732851
21,Llama8B_GSM8K_Final,8,1,0.08217468,0.16589645,0.9451845570767282,0.9081900333733067,0.6939736310863398,0.1943408677361944
22,Llama8B_GSM8K_Final,8,3,0.06595579,0.2656606,0.9527813268713204,0.9593318910016428,0.48611055738112263,0.17936716600452796
23,Llama8B_GSM8K_Final,8,5,0.03299543,0.14570342,0.9680670621832447,0.964860612025825,0.2549677531552931,0.14271157909094545
24,Llama8B_Math500_Final,2,1,0.02671685,0.07886588,0.8301881493668442,0.9376275485754013,0.8270621218818788,0.49795615012778394
25,Llama8B_Math500_Final,2,3,0.0062704044,0.12154588,0.8879462591803912,0.963141922978149,0.7933967379696119,0.5071755725154963
26,Llama8B_Math500_Final,2,5,0.00348217,0.16398115,0.9306290302195275,0.9667247969804234,0.6461250406982388,0.6744266054974435
27,Llama8B_Math500_Final,4,1,0.027970262,0.2595979,0.8895428792510154,0.9495497752477725,0.6383616298638437,0.3980883178304949
28,Llama8B_Math500_Final,4,3,0.01656344,0.24327812,0.9414588295293776,0.9758901778480102,0.6120641289538606,0.23992008624645844
29,Llama8B_Math500_Final,4,5,0.028214933,0.19769287,0.9580557010829576,0.9781161358481959,0.71749816401945,0.17042556813066134
30,Llama8B_Math500_Final,6,1,0.054532275,0.34240213,0.9222541437805255,0.9568516432742278,0.7514553879375319,0.4400724945277744
31,Llama8B_Math500_Final,6,3,0.026049126,0.41708767,0.951847706134148,0.9795234947540294,0.6353035388719979,0.38759753183945556
